t,i,omega
1.194,3.4520992546419405,34.835219577126146
1.196,3.4483518435658165,34.8972511137
1.198,3.44459464685476,34.95919521965601
1.2,3.440827738567259,35.02105171627555
1.202,3.437051192535347,35.082820426328595
1.204,3.4332650823646054,35.14450117407371
1.206,3.4294694814341624,35.20609378525804
1.208,3.4256644628966937,35.26759808711735
1.21,3.42185009967842,35.32901390837596
1.212,3.4180264644791114,35.390341079246824
1.214,3.414193629772084,35.45157943143145
1.216,3.4103516678042003,35.512728798119944
1.218,3.40650065059587,35.573789013991025
1.22,3.40264064994105,35.63475991521199
1.222,3.398771737407246,35.69564133943872
1.224,3.3948939843355066,35.75643312581571
1.226,3.3910074618404304,35.817135114976026
1.228,3.387112240810162,35.877747149041326
1.23,3.3832083919063938,35.93826907162187
1.232,3.3792959855643634,35.998700727816505
1.234,3.3753750919928573,36.05904196421268
1.236,3.371445781174208,36.119292628886406
1.238,3.367508122864295,36.17945257140232
1.24,3.363562186592545,36.23952164281364
1.242,3.359608041661931,36.29949969566217
1.244,3.3556457571489737,36.3593865839783
1.246,3.3516754019037407,36.41918216328102
1.248,3.347697044549846,36.478886290577925
1.25,3.343710753484453,36.53849882436518
1.252,3.3397165968782674,36.59801962462754
1.254,3.335714642675545,36.657448552838375
1.256,3.3317049585940897,36.716785471959625
1.258,3.327687612125249,36.77603024644184
1.26,3.32366267053392,36.83518274222414
1.262,3.319630200858546,36.89424282673425
1.264,3.3155902699111164,36.95321036888849
1.266,3.3115429442771687,37.01208523909177
1.268,3.3074882903157867,37.07086730923758
1.27,3.303426374159602,37.12955645270801
1.272,3.2993572617147926,37.18815254437374
1.274,3.2952810187225565,37.24665545995365
1.276,3.2911977140294653,37.30506504271492
1.278,3.287107414719448,37.36338115568063
1.28,3.283010185690409,37.42160368410883
1.282,3.2789060916442,37.47973251433624
1.284,3.27479519708662,37.53776753377819
1.286,3.270677566327414,37.59570863092869
1.288,3.2665532634802767,37.65355569536038
1.29,3.262422352462849,37.711308617724576
1.292,3.2582848969967197,37.76896728975122
1.294,3.254140960607422,37.82653160424893
1.296,3.249990606624441,37.884001455104936
1.298,3.2458338981812056,37.941376737285154
1.3,3.241670898215093,37.99865734683413
1.302,3.237501669467429,38.05584318087506
1.304,3.2333262744834856,38.11293413760981
1.306,3.2291447756124816,38.16993011631888
1.308,3.224957235007584,38.226831017361405
1.31,3.2207637146259063,38.2836367421752
1.312,3.2165642762285103,38.34034719327673
1.314,3.2123589813804045,38.39696227426108
1.316,3.208147891450545,38.453481889802006
1.318,3.2039310676118347,38.50990594565192
1.32,3.199708570841125,38.56623434864186
1.322,3.1954804619192125,38.622467006681546
1.324,3.191246801430844,38.67860382875932
1.326,3.187007649764711,38.73464472494219
1.328,3.182763067113453,38.79058960637581
1.33,3.1785131134736586,38.846438385284486
1.332,3.174257848645861,38.90219097497117
1.334,3.169997332234543,38.95784728981746
1.336,3.1657316236481328,39.01340724528362
1.338,3.1614607820990077,39.06887075790854
1.34,3.1571848666034903,39.12423774530979
1.342,3.1529039359818527,39.17950812618357
