t,theta,theta_dot,KE,PE,E,E_minus_E0
5.465,-0.01717524965366418,0.30842181656855816,0.04756200846772467,0.0014468864607506949,0.04900889492847536,-2.436940913369545e-07
5.47,-0.015631095031179473,0.3092263757840288,0.04781047574026269,0.0011984198006033543,0.04900889554086604,-2.4308170065712176e-07
5.4750000000000005,-0.01408310720330283,0.3099551083247457,0.04803608458830242,0.0009728117425687855,0.04900889633087121,-2.4229169549166985e-07
5.48,-0.012531666492252378,0.3106078328444842,0.04823861291217351,0.0007702841914803472,0.04900889710365386,-2.4151891284129867e-07
5.485,-0.01097715365410035,0.3111843871425415,0.04841786140063957,0.0005910362760836619,0.04900889767672323,-2.409458434715628e-07
5.49,-0.009419949878774193,0.31168462816373677,0.048573653716783426,0.00043524419181978694,0.04900889790860321,-2.407139634910682e-07
5.495,-0.007860436790056283,0.3121084319984109,0.04870583666225333,0.0003030610579042892,0.04900889772015762,-2.409024090835321e-07
5.5,-0.006298996445583937,0.31245569388242633,0.04881428031977426,0.00019461678877519595,0.04900889710854945,-2.4151401725042154e-07
5.505,-0.004736011336849408,0.31272632819716767,0.048898878173841316,0.00011001797995229824,0.04900889615379361,-2.4246877308731207e-07
5.51,-0.003171864389199884,0.3129202684695411,0.048959547209524834,4.934780839275788e-05,0.049008895017917595,-2.4360464910555546e-07
5.515,-0.0016069389618374869,0.3130374673719745,0.04899622798933,1.2665947390940735e-05,0.04900889393672094,-2.4468584575859653e-07
5.5200000000000005,-4.1618847818985366e-05,0.31307789672241776,0.04900888470806644,8.496090001530732e-09,0.04900889320415644,-2.4541841026071154e-07
5.525,0.0015237120094464447,0.3130415473321763,0.04899750517806159,1.1387927898566242e-05,0.049008893105960155,-2.455166065451486e-07
5.53,0.0030886710136644093,0.3129284274737742,0.048962100360604575,4.679311653289053e-05,0.049008893477137466,-2.4514542923403937e-07
5.535,0.004652873287796391,0.3127385645022473,0.048902704863463146,0.00010618928075119772,0.049008894144214346,-2.444783523541938e-07
5.54,0.0062159341058167054,0.3124720050070308,0.04881937695655695,0.00018951797932734938,0.0490088949358843,-2.4368668240237756e-07
5.545,0.007777469521915254,0.31212881461090414,0.04871219845520408,0.0002966972071838869,0.04900889566238797,-2.429601787326541e-07
5.55,0.00933709637049752,0.311709077969991,0.04858127464445096,0.00042762150640692886,0.049008896150857885,-2.424717088153616e-07
5.555,0.010894432266184575,0.31121289877375924,0.04842673418158306,0.0005821620918074722,0.049008896273390536,-2.42349176164669e-07
5.5600000000000005,0.012449095603813349,0.310640399745021,0.04824872897687322,0.0007601669909038479,0.049008895967777064,-2.426547896366982e-07
5.565,0.014000705558435524,0.3099917226399329,0.04804743405263655,0.000961461198233844,0.04900889525087039,-2.433716963096133e-07
5.57,0.015548882085319208,0.3092670282479955,0.04782304738067323,0.0011858468438614444,0.04900889422453467,-2.443980320274153e-07
5.575,0.017093245919947805,0.30846649639205387,0.04757578969819449,0.0014331033759954093,0.049008893074189895,-2.455483768051825e-07
5.58,0.018633418578020308,0.30759032592829705,0.047305904302338005,0.001702987757591179,0.049008892059929185,-2.4656263751532403e-07
5.585,0.020169022355451306,0.30663873474625863,0.04701365682339318,0.0019952346768304587,0.04900889150022364,-2.4712234306112357e-07
5.59,0.02169968114981398,0.3056119586661906,0.0466993346398927,0.0023095569462183033,0.049008891586111006,-2.470364556944604e-07
5.595,0.02322502039917299,0.30451025031267065,0.046363246272742666,0.0026456457879860487,0.04900889206072871,-2.4656183798821285e-07
5.6000000000000005,0.024744664705941263,0.30333388278521056,0.04600572222277593,0.0030031705649861042,0.049008892787762035,-2.458348046657788e-07
5.605,0.026258240526774602,0.30208314740663605,0.0456271139735497,0.003381779617466332,0.04900889359101603,-2.450315506677403e-07
5.61,0.02776537628286742,0.3007583536039825,0.04522779363128909,0.003781100650583158,0.04900889428187225,-2.443406944482862e-07
5.615,0.029265702359951636,0.299359828908496,0.044808153582062,0.004200741112114705,0.049008894694176706,-2.439283899938194e-07
5.62,0.030758851108296986,0.2978879189556329,0.04436860612985885,0.004640288581899479,0.04900889471175833,-2.4391080837016244e-07
5.625,0.03224445684271099,0.29634298748505994,0.043909583115785196,0.005099311172773,0.049008894288558195,-2.443340085048207e-07
5.63,0.03372215584253896,0.2947254163406544,0.04343153551858604,0.005577357942706111,0.049008893461292155,-2.4516127454521364e-07
5.635,0.035191586351664014,0.2930356054705037,0.042934933036732355,0.006073959317898836,0.04900889235463119,-2.462679355094699e-07
5.64,0.036652388578507056,0.2912739729269059,0.04242026365231195,0.006588627526566224,0.049008891178878175,-2.4744368852525067e-07
5.6450000000000005,0.03810420469602704,0.2894409548663689,0.041888033176977695,0.007120857043147143,0.049008890220124834,-2.4840244186585814e-07
5.65,0.03954667884187957,0.2875370055493503,0.041338764780143554,0.007670125042745446,0.049008889822889,-2.4879967770036204e-07
5.655,0.04097945889792087,0.28556259398328354,0.04077299754123082,0.008235892580600904,0.049008890121831725,-2.4850073497562075e-07
5.66,0.04240219383082982,0.2835182070467339,0.04019128686349734,0.008817604084240429,0.04900889094773777,-2.476748289306774e-07
5.665,0.04381453333827395,0.2814043514507122,0.03959420450769797,0.009414687622057237,0.049008892129755205,-2.4649281149535796e-07
5.67,0.04521613025365828,0.27922155022920164,0.03898233705619929,0.010026556376365155,0.04900889343256444,-2.451900022598652e-07
5.675,0.046606640546125316,0.2769703427391584,0.03835628537852343,0.010652609224826757,0.04900889460335019,-2.440192165137356e-07
5.68,0.047985723320555014,0.27465128466051114,0.03771666408283456,0.011292231328563301,0.049008895411397864,-2.4321116883635474e-07
5.6850000000000005,0.04935304081756509,0.27226494799616074,0.03706410095367606,0.011944794726552218,0.04900889568022827,-2.429423384270324e-07
5.69,0.05070825841350998,0.2698119210719822,0.036399236376276775,0.012609658935927663,0.04900889531220444,-2.433103622606625e-07
5.695,0.052051044620482344,0.26729280853682175,0.035722722747751026,0.013286171557805142,0.04900889430555617,-2.4431701053234667e-07
5.7,0.05338107108631207,0.26470823136249877,0.03503522387553109,0.013973668888258794,0.049008892763789884,-2.458587768164322e-07
5.705,0.05469801259456651,0.2620588268438054,0.034337414363375784,0.014671476534073432,0.04900889089744922,-2.477251174817785e-07
5.71,0.05600154706455053,0.2593452485985062,0.0336299789853105,0.015378910032905348,0.049008889018215845,-2.4960435085485955e-07
