t,i,omega,v,E,E_minus_E0
1.7735,1.672499559248523,46.389941748543876,6.0,2.8513403893549203,2.8513403893549203
1.774,1.6723712382108595,46.39183282658461,6.0,2.8514085426085045,2.8514085426085045
1.7745,1.6722430602052925,46.39372103593678,6.0,2.8514765646615134,2.8514765646615134
1.7750000000000001,1.6721150251171644,46.39560638018313,6.0,2.851544455690534,2.851544455690534
1.7755,1.6719871328318594,46.39748886290301,6.0,2.8516122158720343,2.8516122158720343
1.776,1.6718593832348052,46.39936848767229,6.0,2.851679845382362,2.851679845382362
1.7765,1.6717317762114714,46.40124525806342,6.0,2.8517473443977432,2.8517473443977432
1.7770000000000001,1.6716043116473702,46.403119177645415,6.0,2.8518147130942832,2.8518147130942832
1.7775,1.6714769894280566,46.40499024998385,6.0,2.8518819516479654,2.8518819516479654
1.778,1.671349809439128,46.406858478640835,6.0,2.8519490602346513,2.8519490602346513
1.7785,1.6712227715662238,46.408723867175084,6.0,2.8520160390300786,2.8520160390300786
1.7790000000000001,1.671095875695027,46.41058641914183,6.0,2.852082888209864,2.852082888209864
1.7795,1.6709691217112619,46.41244613809289,6.0,2.8521496079495003,2.8521496079495003
1.78,1.6708425095006967,46.414303027576636,6.0,2.8522161984243564,2.8522161984243564
1.7805,1.670716038949141,46.416157091138004,6.0,2.8522826598096778,2.8522826598096778
1.7810000000000001,1.6705897099424472,46.41800833231848,6.0,2.8523489922805854,2.8523489922805854
1.7815,1.6704635223665103,46.419856754656124,6.0,2.8524151960120756,2.8524151960120756
1.782,1.6703374761072685,46.42170236168554,6.0,2.8524812711790206,2.8524812711790206
1.7825,1.6702115710507013,46.42354515693792,6.0,2.8525472179561673,2.8525472179561673
1.7830000000000001,1.6700858070828315,46.42538514394098,6.0,2.852613036518134,2.852613036518134
1.7835,1.6699601840897245,46.42722232621902,6.0,2.852678727039416,2.852678727039416
1.784,1.6698347019574877,46.4290567072929,6.0,2.852744289694383,2.852744289694383
1.7845,1.6697093605722715,46.43088829068004,6.0,2.852809724657275,2.852809724657275
1.7850000000000001,1.6695841598202685,46.4327170798944,6.0,2.852875032102206,2.852875032102206
1.7855,1.669459099587714,46.434543078446545,6.0,2.8529402122031637,2.8529402122031637
1.786,1.6693341797608863,46.43636628984354,6.0,2.853005265134005,2.853005265134005
1.7865,1.669209400226105,46.43818671758907,6.0,2.853070191068465,2.853070191068465
1.7870000000000001,1.6690847608697337,46.44000436518334,6.0,2.8531349901801417,2.8531349901801417
1.7875,1.6689602615781773,46.44181923612313,6.0,2.8531996626425107,2.8531996626425107
1.788,1.668835902237884,46.443631333901784,6.0,2.853264208628917,2.853264208628917
1.7885,1.668711682735344,46.445440662009204,6.0,2.853328628312574,2.853328628312574
1.7890000000000001,1.6685876029570905,46.447247223931846,6.0,2.853392921866567,2.853392921866567
1.7895,1.6684636627896992,46.44905102315273,6.0,2.8534570894638502,2.8534570894638502
1.79,1.6683398621197878,46.45085206315144,6.0,2.853521131277248,2.853521131277248
1.7905,1.6682162008340171,46.45265034740411,6.0,2.8535850474794535,2.8535850474794535
1.7910000000000001,1.66809267881909,46.454445879383464,6.0,2.8536488382430294,2.8536488382430294
1.7915,1.6679692959617525,46.45623866255874,6.0,2.8537125037404034,2.8537125037404034
1.792,1.6678460521487926,46.45802870039578,6.0,2.853776044143877,2.853776044143877
1.7925,1.6677229472670407,46.45981599635696,6.0,2.853839459625612,2.853839459625612
1.793,1.6675999812033706,46.46160055390122,6.0,2.8539027503576446,2.8539027503576446
1.7935,1.6674771538446977,46.463382376484084,6.0,2.8539659165118754,2.8539659165118754
1.794,1.6673544650779804,46.46516146755759,6.0,2.8540289582600686,2.8540289582600686
1.7945,1.6672319147902195,46.46693783057039,6.0,2.8540918757738587,2.8540918757738587
1.795,1.6671095028684582,46.468711468967655,6.0,2.8541546692247457,2.8541546692247457
1.7955,1.6669872291997827,46.47048238619114,6.0,2.854217338784093,2.854217338784093
1.796,1.6668650936713212,46.47225058567914,6.0,2.854279884623131,2.854279884623131
1.7965,1.6667430961702447,46.47401607086654,6.0,2.854342306912955,2.854342306912955
1.797,1.6666212365837667,46.47577884518476,6.0,2.8544046058245245,2.8544046058245245
