t,theta1_A,theta1_dot_A,theta2_A,theta2_dot_A,theta1_B,theta1_dot_B,theta2_B,theta2_dot_B,diff_norm,E,E_minus_E0
0.265,0.45398312013247016,-1.5706260477847134,0.7269906241296602,-0.29618712404284864,0.4544122942342201,-1.5739723675659811,0.727787985675937,-0.29226659953968304,0.005233387459716665,4.6137961445827145,-1.408956213921897e-07
0.2675,0.45005050089482407,-1.5754240520355283,0.7262252224195789,-0.3162154275393003,0.4504713142699108,-1.5787674080402423,0.72703233035391,-0.31233605494746397,0.005201544789277567,4.613796168201349,-1.1727698723262847e-07
0.27,0.4461061552221891,-1.5800033024411322,0.7254093319293416,-0.33658703413400565,0.4465186154685911,-1.5833430621563596,0.7262260833390937,-0.3327503430395974,0.005168307249918605,4.61379620445976,-8.101857584819072e-08
0.2725,0.4421506317327408,-1.584364607988026,0.724542091118752,-0.357298033419834,0.44255474807979045,-1.5877001542890128,0.7253683789598099,-0.3535055160307743,0.0051337236866216005,4.613796246366385,-3.911195101125031e-08
0.275,0.4381844765297654,-1.5885087872019201,0.7236226502098652,-0.3783444439659597,0.43858025980808385,-1.5918395176049351,0.7244583634141804,-0.3745975563238594,0.005097841992780449,4.613796286501204,1.0228680125123901e-09
0.2775,0.43420823320166,-1.5924366681477347,0.722650171186988,-0.3997222133178618,0.4345956958130921,-1.5957619940629124,0.7234951947701265,-0.39602237650989136,0.005060709137965098,4.61379631788875,3.2410413908223745e-08
0.28,0.43022244282193234,-1.5961490884295984,0.7216238277966794,-0.4214272179973245,0.43060159870948134,-1.5994684344137826,0.7224780429653699,-0.41777581936808267,0.005022371198331859,4.613796334722227,4.9243890742900476e-08
0.28250000000000003,0.4262276439492009,-1.5996468951908502,0.7205428055477499,-0.4434552635024367,0.42659850856696346,-1.602959698200437,0.7214060898074316,-0.4398536578658195,0.004982873389898916,4.613796332925272,4.744693615776896e-08
0.28500000000000003,0.42222437262719487,-1.6029309451140377,0.7194063017112613,-0.4658020843075924,0.4225869629102959,-1.606236653757819,0.7202785289736331,-0.46225159515866193,0.004942260104938575,4.6137963105384845,2.5060148622912948e-08
0.28750000000000003,0.41821316238475426,-1.6060021044209185,0.7182135253205276,-0.4884633438634904,0.41856749671928173,-1.609300178212925,0.7190945660110952,-0.4849652645903438,0.0049005749517581155,4.613796267918481,-1.7559854903481664e-08
0.29,0.41419454423582985,-1.6088612488724592,0.7169636971711146,-0.5114346345971338,0.4145406424287697,-1.6121511574848038,0.7178534183367389,-0.5079902296927723,0.004857860798179014,4.613796207737882,-7.774045407415997e-08
0.2925,0.4101690466794829,-1.6115092637688357,0.7156560498208394,-0.534711477911832,0.4105069299286538,-1.6147904862845572,0.716554315237285,-0.5313219841860299,0.004814159819052741,4.613796134775364,-1.5070297187946835e-07
0.295,0.4061371956998856,-1.613947043949434,0.714289827589771,-0.5582893241871985,0.406466886563874,-1.6172190681153396,0.715196497869254,-0.5549559519783714,0.0047695135481877066,4.6137960554856425,-2.2999269333467964e-07
0.2975,0.40209951476632094,-1.6161754937928483,0.7128642865602302,-0.5821635527791513,0.4024210371344157,-1.6194378152723576,0.7137792192589666,-0.5788874871662262,0.004723962935106603,4.613795977340032,-3.0813830420584054e-07
0.3,0.39805652483318255,-1.6181955272168833,0.7113786945767894,-0.6063294720199139,0.3983699038953099,-1.621447648842871,0.7123017443025431,-0.6031118740341967,0.00467754840709345,4.613795907929044,-3.775492922741819e-07
0.3025,0.3940087443399747,-1.6200080676785522,0.7098323312462729,-0.6307823192180144,0.39431400655663323,-1.623249498706192,0.7107633497659039,-0.6276243270550603,0.004630309937038894,4.613795853819326,-4.316590098696338e-07
